DATE,NA000283Q
1947-01-01,10208.0
1947-04-01,10260.0
1947-07-01,10394.0
1947-10-01,9488.0
1948-01-01,9493.0
1948-04-01,9945.0
1948-07-01,10456.0
1948-10-01,11510.0
1949-01-01,11542.0
1949-04-01,11587.0
1949-07-01,11570.0
1949-10-01,11631.0
1950-01-01,13460.0
1950-04-01,11378.0
1950-07-01,10365.0
1950-10-01,11717.0
1951-01-01,12810.0
1951-04-01,14031.0
1951-07-01,15418.0
1951-10-01,16153.0
1952-01-01,15769.0
1952-04-01,16593.0
1952-07-01,17483.0
1952-10-01,18085.0
1953-01-01,17827.0
1953-04-01,18183.0
1953-07-01,17783.0
1953-10-01,18973.0
1954-01-01,17748.0
1954-04-01,17324.0
1954-07-01,17474.0
1954-10-01,17965.0
1955-01-01,17808.0
1955-04-01,17127.0
1955-07-01,18155.0
1955-10-01,18550.0
1956-01-01,17907.0
1956-04-01,18323.0
1956-07-01,18388.0
1956-10-01,19818.0
1957-01-01,19883.0
1957-04-01,20024.0
1957-07-01,20570.0
1957-10-01,21466.0
1958-01-01,21017.0
1958-04-01,21642.0
1958-07-01,22482.0
1958-10-01,22977.0
1959-01-01,22035.0
1959-04-01,22526.0
1959-07-01,23367.0
1959-10-01,22580.0
1960-01-01,22495.0
1960-04-01,23333.0
1960-07-01,23533.0
1960-10-01,24037.0
1961-01-01,23982.0
1961-04-01,25290.0
1961-07-01,24915.0
1961-10-01,25624.0
1962-01-01,26366.0
1962-04-01,26634.0
1962-07-01,27806.0
1962-10-01,27751.0
1963-01-01,27791.0
1963-04-01,27918.0
1963-07-01,29371.0
1963-10-01,28419.0
1964-01-01,29160.0
1964-04-01,29254.0
1964-07-01,30737.0
1964-10-01,29060.0
1965-01-01,29667.0
1965-04-01,30530.0
1965-07-01,33257.0
1965-10-01,32487.0
1966-01-01,33520.0
1966-04-01,34916.0
1966-07-01,38487.0
1966-10-01,37451.0
1967-01-01,40032.0
1967-04-01,40567.0
1967-07-01,43051.0
1967-10-01,42116.0
1968-01-01,43940.0
1968-04-01,45791.0
1968-07-01,47929.0
1968-10-01,46668.0
1969-01-01,46556.0
1969-04-01,48613.0
1969-07-01,51589.0
1969-10-01,50225.0
1970-01-01,51453.0
1970-04-01,55218.0
1970-07-01,57762.0
1970-10-01,55514.0
1971-01-01,57845.0
1971-04-01,61019.0
1971-07-01,61860.0
1971-10-01,60877.0
1972-01-01,64172.0
1972-04-01,67346.0
1972-07-01,66730.0
1972-10-01,69771.0
1973-01-01,70322.0
1973-04-01,72462.0
1973-07-01,72838.0
1973-10-01,71933.0
1974-01-01,75812.0
1974-04-01,79644.0
1974-07-01,80362.0
1974-10-01,84032.0
1975-01-01,89569.0
1975-04-01,95285.0
1975-07-01,93386.0
1975-10-01,96519.0
1976-01-01,99687.0
1976-04-01,99305.0
1976-07-01,100816.0
1976-10-01,103677.0
1977-01-01,105994.0
1977-04-01,107581.0
1977-07-01,109872.0
1977-10-01,113869.0
1978-01-01,117694.0
1978-04-01,120300.0
1978-07-01,121714.0
1978-10-01,126154.0
1979-01-01,128768.0
1979-04-01,131279.0
1979-07-01,134658.0
1979-10-01,139684.0
1980-01-01,148151.0
1980-04-01,152038.0
1980-07-01,157740.0
1980-10-01,164527.0
1981-01-01,172401.0
1981-04-01,173563.0
1981-07-01,178350.0
1981-10-01,184822.0
1982-01-01,189630.0
1982-04-01,191797.0
1982-07-01,196697.0
1982-10-01,207890.0
1983-01-01,208758.0
1983-04-01,212526.0
1983-07-01,212999.0
1983-10-01,217661.0
1984-01-01,222397.0
1984-04-01,222968.0
1984-07-01,225349.0
1984-10-01,236970.0
1985-01-01,240505.0
1985-04-01,241853.0
1985-07-01,242861.0
1985-10-01,249751.0
1986-01-01,251363.0
1986-04-01,260580.0
1986-07-01,260230.0
1986-10-01,261676.0
1987-01-01,263462.0
1987-04-01,264314.0
1987-07-01,262983.0
1987-10-01,274471.0
1988-01-01,278364.0
1988-04-01,276979.0
1988-07-01,273985.0
1988-10-01,293058.0
1989-01-01,296654.0
1989-04-01,299269.0
1989-07-01,295865.0
1989-10-01,310048.0
1990-01-01,317995.0
1990-04-01,322405.0
1990-07-01,319547.0
1990-10-01,330952.0
1991-01-01,320185.0
1991-04-01,338309.0
1991-07-01,338763.0
1991-10-01,358975.0
1992-01-01,365271.0
1992-04-01,368908.0
1992-07-01,368442.0
1992-10-01,386235.0
1993-01-01,378122.0
1993-04-01,384836.0
1993-07-01,386655.0
1993-10-01,394972.0
1994-01-01,390432.0
1994-04-01,390691.0
1994-07-01,397657.0
1994-10-01,406192.0
1995-01-01,412466.0
1995-04-01,415960.0
1995-07-01,415830.0
1995-10-01,415282.0
1996-01-01,425523.0
1996-04-01,426516.0
1996-07-01,427184.0
1996-10-01,436514.0
1997-01-01,433187.0
1997-04-01,438768.0
1997-07-01,435601.0
1997-10-01,451796.0
1998-01-01,439345.0
1998-04-01,445251.0
1998-07-01,443702.0
1998-10-01,460154.0
1999-01-01,448286.0
1999-04-01,456605.0
1999-07-01,458196.0
1999-10-01,473741.0
2000-01-01,468041.0
2000-04-01,479183.0
2000-07-01,472437.0
2000-10-01,488430.0
2001-01-01,497170.0
2001-04-01,503150.0
2001-07-01,501435.0
2001-10-01,515573.0
2002-01-01,522337.0
2002-04-01,535303.0
2002-07-01,534775.0
2002-10-01,546285.0
2003-01-01,556203.0
2003-04-01,577410.0
2003-07-01,575120.0
2003-10-01,584764.0
2004-01-01,596541.0
2004-04-01,600847.0
2004-07-01,604610.0
2004-10-01,619574.0
2005-01-01,638822.0
2005-04-01,645540.0
2005-07-01,651726.0
2005-10-01,662376.0
2006-01-01,684176.0
2006-04-01,690465.0
2006-07-01,689447.0
2006-10-01,696633.0
2007-01-01,717262.0
2007-04-01,728618.0
2007-07-01,732861.0
2007-10-01,749263.0
2008-01-01,761256.0
2008-04-01,848721.0
2008-07-01,795219.0
2008-10-01,801794.0
2009-01-01,828974.0
2009-04-01,887955.0
2009-07-01,877357.0
2009-10-01,890955.0
2010-01-01,923970.0
2010-04-01,939615.0
2010-07-01,944105.0
2010-10-01,956935.0
2011-01-01,946475.0
2011-04-01,966997.0
2011-07-01,946054.0
2011-10-01,948226.0
2012-01-01,940733.0
2012-04-01,945236.0
2012-07-01,945741.0
2012-10-01,941793.0
2013-01-01,938461.0
2013-04-01,946530.0
2013-07-01,946758.0
2013-10-01,938505.0
2014-01-01,954849.0
2014-04-01,970965.0
2014-07-01,986420.0
2014-10-01,976204.0
2015-01-01,992832.0
2015-04-01,996273.0
2015-07-01,1009364.0
2015-10-01,1007357.0
2016-01-01,1019783.0
2016-04-01,1024140.0
2016-07-01,1044040.0
2016-10-01,1040011.0
2017-01-01,1050365.0
2017-04-01,1048672.0
2017-07-01,1065491.0
2017-10-01,1076017.0
2018-01-01,1101431.0
2018-04-01,1111292.0
2018-07-01,1131031.0
2018-10-01,1145725.0
2019-01-01,1166463.0
2019-04-01,1186163.0
2019-07-01,1197757.0
2019-10-01,1198184.0
2020-01-01,1213113.0
2020-04-01,2212316.0
2020-07-01,1775360.0
2020-10-01,1468848.0
2021-01-01,2035711.0
2021-04-01,1910312.0
2021-07-01,1665127.0
2021-10-01,1517407.0
2022-01-01,1478306.0
2022-04-01,1503030.0
2022-07-01,1514249.0
2022-10-01,1542927.0
2023-01-01,1582331.0
2023-04-01,1594700.0
2023-07-01,1594514.0
2023-10-01,1601002.0
